example_id                                                             | status | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed | 0.00872 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed | 0.00546 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed | 0.00493 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed | 0.00237 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed | 0.00723 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed | 0.0061 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed | 0.00678 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed | 0.00702 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed | 0.00635 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed | 0.00987 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed | 0.00704 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed | 0.00692 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed | 0.01363 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed | 0.00152 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed | 0.01098 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed | 0.00259 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed | 0.00752 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed | 0.00882 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed | 0.00883 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed | 0.00867 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed | 0.03276 seconds |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed | 0.06776 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed | 0.0627 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed | 0.0515 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed | 0.03615 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed | 0.04188 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed | 0.0421 seconds  |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed | 0.01133 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed | 0.01159 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed | 0.01158 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed | 0.01578 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed | 0.01298 seconds |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed | 0.05443 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed | 0.05388 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed | 0.0546 seconds  |
